"id","number","date","summary","loai_van_ban","phan_loai","co_quan_ban_hanh"
1,"01/2024/NĐ-CP","05/01/2024","Nghị định quy định chi tiết thi hành một số điều của Luật Doanh nghiệp",1,1,3
2,"85/2023/TT-BTC","15/01/2024","Thông tư hướng dẫn một số nội dung về thu, nộp, quản lý và sử dụng phí cung cấp thông tin doanh nghiệp",2,1,2
5,"12/2024/QĐ-TTg","30/01/2024","Quyết định phê duyệt Chương trình hỗ trợ phát triển thị trường lao động đến năm 2030",3,1,4
6,"05/2024/TT-BKHĐT","10/02/2024","Thông tư quy định chi tiết mẫu hồ sơ, trình tự, thủ tục đăng ký doanh nghiệp, hộ kinh doanh",2,1,1
7,"18/2024/NĐ-CP","25/02/2024","Nghị định sửa đổi, bổ sung một số điều về xử phạt vi phạm hành chính trong lĩnh vực kế toán, kiểm toán độc lập",1,2,3
8,"11/2024/TT-BLĐTBXH","05/03/2024","Thông tư hướng dẫn thực hiện một số điều của Bộ luật Lao động về thời giờ làm việc, thời giờ nghỉ ngơi",2,1,5
9,"02/2024/QĐ-NHNN","12/03/2024","Quyết định về mức lãi suất tối đa đối với tiền gửi bằng đồng Việt Nam của tổ chức, cá nhân tại tổ chức tín dụng",3,1,6
10,"24/2024/NĐ-CP","20/03/2024","Nghị định quy định chi tiết Luật Giao dịch điện tử về chữ ký số và dịch vụ chứng thực chữ ký số",1,1,3
11,"14/2024/TT-BTP","28/03/2024","Thông tư ban hành tiêu chí đánh giá hiệu quả công tác hỗ trợ pháp lý cho doanh nghiệp nhỏ và vừa",2,1,7
12,"31/2024/NĐ-CP","10/04/2024","Nghị định quy định về cơ chế quản lý tài chính dự án đầu tư theo phương thức đối tác công tư (PPP)",1,1,3